Data from han2010_HRD27891__0__16-20-05-076.txt Node

847.381	-2.5
847.476	-2.5
847.57	-2.5
847.665	1.5
847.759	-1.5
847.854	-2.5
847.948	1.5
848.043	2.5
848.137	-1.5
848.232	-0.5
848.326	0.5
848.421	-0.5
848.515	-0.5
848.609	-0.5
848.704	0.5
848.798	0.5
848.893	1.5
848.987	1.5
849.081	0.5
849.176	-0.5
849.27	1.5
849.364	-2.5
849.459	-0.5
849.553	-0.5
849.647	-0.5
849.741	-5.5
849.836	-5.5
849.93	-0.5
850.024	-3.5
850.118	-9.5
850.212	-6.5
850.307	8.5
850.401	11.5
850.495	8.5
850.589	27.5
850.683	30.5
850.777	29.5
850.871	20.5
850.965	25.5
851.06	20.5
851.154	31.5
851.248	26.5
851.342	34.5
851.436	35.5
851.53	34.5
851.624	29.5
851.718	26.5
851.812	25.5
851.906	32.5
852	35.5
852.093	37.5
852.187	24.5
852.281	7.5
852.375	11.5
852.469	23.5
852.563	19.5
852.657	31.5
852.751	29.5
852.844	33.5
852.938	27.5
853.032	21.5
853.126	16.5
853.22	19.5
853.313	21.5
853.407	19.5
853.501	24.5
853.595	27.5
853.688	15.5
853.782	16.5
853.876	12.5
853.969	24.5
854.063	19.5
854.157	25.5
854.25	31.5
854.344	26.5
854.438	26.5
854.531	16.5
854.625	12.5
854.718	29.5
854.812	32.5
854.905	24.5
854.999	14.5
855.092	12.5
855.186	15.5
855.279	17.5
855.373	10.5
855.466	21.5
855.56	25.5
855.653	19.5
855.747	25.5
855.84	20.5
855.934	18.5
856.027	15.5
856.12	20.5
856.214	12.5
856.307	24.5
856.4	20.5
856.494	19.5
856.587	21.5
856.68	20.5
856.774	21.5
856.867	38.5
856.96	29.5
857.053	30.5
857.147	28.5
857.24	33.5
857.333	34.5
857.426	31.5
857.519	23.5
857.613	17.5
857.706	21.5
857.799	19.5
857.892	17.5
857.985	23.5
858.078	21.5
858.171	17.5
858.264	15.5
858.358	21.5
858.451	29.5
858.544	13.5
858.637	12.5
858.73	35.5
858.823	31.5
858.916	34.5
859.009	44.5
859.102	34.5
859.195	29.5
859.287	23.5
859.38	34.5
859.473	29.5
859.566	35.5
859.659	22.5
859.752	19.5
859.845	21.5
859.938	24.5
860.031	40.5
860.123	46.5
860.216	33.5
860.309	31.5
860.402	24.5
860.494	30.5
860.587	23.5
860.68	19.5
860.773	23.5
860.865	23.5
860.958	22.5
861.051	11.5
861.144	25.5
861.236	23.5
861.329	30.5
861.421	33.5
861.514	29.5
861.607	25.5
861.699	22.5
861.792	27.5
861.884	42.5
861.977	29.5
862.07	25.5
862.162	38.5
862.255	42.5
862.347	34.5
862.44	27.5
862.532	28.5
862.625	29.5
862.717	32.5
862.81	36.5
862.902	27.5
862.994	30.5
