*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.153,-0.03,25.0
1.000,0.972,1.337,-0.02,25.1
2.000,1.976,1.371,0.69,25.2
3.000,2.972,1.394,1.64,25.3
4.000,3.973,1.416,2.60,25.3
5.000,4.980,1.436,3.58,25.3
6.000,5.984,1.455,4.53,25.4
7.000,6.982,1.472,5.47,25.4
8.000,7.974,1.487,6.42,25.4
9.000,8.974,1.502,7.34,25.4
10.000,9.969,1.516,8.20,25.4
11.000,10.962,1.530,8.98,25.5
12.000,11.978,1.543,9.82,25.5
13.000,12.968,1.555,10.59,25.5
