*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.152,-0.02,25.0
1.000,0.973,1.337,-0.01,25.0
2.000,1.977,1.370,0.71,25.0
3.000,2.972,1.393,1.68,25.0
4.000,3.973,1.415,2.66,25.0
5.000,4.980,1.435,3.65,25.0
6.000,5.983,1.453,4.61,25.0
7.000,6.982,1.470,5.57,25.0
8.000,7.975,1.486,6.48,25.0
9.000,8.973,1.501,7.43,25.0
10.000,9.969,1.516,8.31,25.0
11.000,10.961,1.529,9.13,25.0
12.000,11.977,1.542,9.97,25.0
13.000,12.968,1.553,10.79,25.0
