*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.153,0.00,25.0
1.000,0.973,1.337,0.00,25.0
2.000,1.977,1.369,0.71,25.0
3.000,2.973,1.393,1.66,25.0
4.000,3.973,1.414,2.61,25.0
5.000,4.980,1.434,3.60,25.0
6.000,5.985,1.452,4.52,25.0
7.000,6.983,1.469,5.46,25.0
8.000,7.975,1.484,6.36,25.0
9.000,8.974,1.499,7.27,25.0
10.000,9.970,1.513,8.13,25.0
11.000,10.962,1.526,8.96,25.0
12.000,11.978,1.538,9.73,25.0
13.000,12.969,1.550,10.47,25.0
