*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.153,0.01,25.0
1.000,0.973,1.337,0.00,25.0
2.000,1.977,1.371,0.68,25.0
3.000,2.972,1.393,1.65,25.0
4.000,3.973,1.414,2.61,25.0
5.000,4.981,1.434,3.60,25.0
6.000,5.984,1.451,4.57,25.0
7.000,6.981,1.468,5.48,25.0
8.000,7.975,1.484,6.38,25.0
9.000,8.973,1.498,7.27,25.0
10.000,9.969,1.512,8.07,25.0
11.000,10.963,1.524,8.87,25.0
12.000,11.978,1.537,9.65,25.0
13.000,12.969,1.548,10.35,25.0
