*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.153,-0.01,25.0
1.000,0.973,1.338,-0.01,25.0
2.000,1.977,1.371,0.72,25.0
3.000,2.972,1.395,1.69,25.0
4.000,3.973,1.416,2.69,25.0
5.000,4.981,1.437,3.67,25.0
6.000,5.984,1.455,4.67,25.0
7.000,6.982,1.473,5.62,25.0
8.000,7.975,1.489,6.53,25.0
9.000,8.973,1.504,7.43,25.0
10.000,9.970,1.518,8.34,25.0
11.000,10.962,1.532,9.21,25.0
12.000,11.977,1.545,10.07,25.0
13.000,12.969,1.557,10.84,25.0
