*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.152,-0.03,25.0
1.000,0.973,1.337,-0.01,25.1
2.000,1.976,1.371,0.69,25.2
3.000,2.972,1.395,1.66,25.3
4.000,3.973,1.417,2.63,25.3
5.000,4.981,1.437,3.61,25.3
6.000,5.984,1.456,4.57,25.3
7.000,6.982,1.474,5.55,25.4
8.000,7.975,1.490,6.47,25.4
9.000,8.973,1.505,7.41,25.4
10.000,9.969,1.520,8.31,25.4
11.000,10.962,1.533,9.22,25.5
12.000,11.978,1.547,10.09,25.5
13.000,12.969,1.559,10.89,25.5
