*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.151,-0.02,25.0
1.000,0.973,1.338,-0.02,25.1
2.000,1.977,1.370,0.73,25.2
3.000,2.973,1.394,1.67,25.3
4.000,3.973,1.416,2.66,25.3
5.000,4.980,1.437,3.65,25.3
6.000,5.984,1.455,4.62,25.3
7.000,6.982,1.472,5.58,25.4
8.000,7.975,1.489,6.50,25.4
9.000,8.973,1.505,7.39,25.4
10.000,9.970,1.519,8.27,25.4
11.000,10.962,1.533,9.20,25.5
12.000,11.978,1.546,10.06,25.5
13.000,12.969,1.559,10.86,25.5
