*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.153,-0.01,25.0
1.000,0.973,1.338,0.00,25.0
2.000,1.977,1.372,0.69,25.2
3.000,2.972,1.396,1.64,25.3
4.000,3.973,1.417,2.65,25.3
5.000,4.980,1.437,3.65,25.3
6.000,5.983,1.456,4.61,25.4
7.000,6.981,1.474,5.55,25.4
8.000,7.974,1.490,6.47,25.4
9.000,8.974,1.506,7.41,25.4
10.000,9.969,1.520,8.34,25.4
11.000,10.961,1.534,9.19,25.5
12.000,11.978,1.547,10.04,25.5
13.000,12.968,1.559,10.81,25.6
