*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.151,0.05,25.0
1.000,0.973,1.335,0.04,25.0
2.000,1.977,1.369,0.73,25.0
3.000,2.972,1.393,1.66,25.0
4.000,3.973,1.414,2.68,25.0
5.000,4.980,1.433,3.67,25.0
6.000,5.983,1.452,4.65,25.0
7.000,6.981,1.469,5.58,25.0
8.000,7.974,1.485,6.52,25.0
9.000,8.972,1.501,7.41,25.0
10.000,9.969,1.515,8.30,25.0
11.000,10.962,1.528,9.12,25.0
12.000,11.977,1.541,9.97,25.0
13.000,12.968,1.553,10.73,25.0
