*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.153,-0.01,25.0
1.000,0.973,1.337,0.00,25.1
2.000,1.977,1.370,0.74,25.2
3.000,2.972,1.393,1.69,25.3
4.000,3.972,1.415,2.67,25.3
5.000,4.980,1.435,3.69,25.3
6.000,5.983,1.454,4.64,25.4
7.000,6.981,1.472,5.56,25.4
8.000,7.973,1.488,6.52,25.4
9.000,8.973,1.503,7.49,25.4
10.000,9.968,1.517,8.33,25.4
11.000,10.961,1.531,9.19,25.5
12.000,11.976,1.544,10.06,25.5
13.000,12.968,1.556,10.90,25.5
