*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.152,-0.01,25.0
1.000,0.973,1.337,-0.01,25.0
2.000,1.976,1.369,0.72,25.0
3.000,2.973,1.392,1.69,25.0
4.000,3.973,1.414,2.68,25.0
5.000,4.981,1.433,3.66,25.0
6.000,5.984,1.452,4.64,25.0
7.000,6.982,1.469,5.60,25.0
8.000,7.975,1.485,6.51,25.0
9.000,8.974,1.500,7.44,25.0
10.000,9.969,1.514,8.33,25.0
11.000,10.962,1.527,9.18,25.0
12.000,11.978,1.540,10.03,25.0
13.000,12.969,1.552,10.85,25.0
