*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.153,-0.01,25.0
1.000,0.973,1.337,-0.01,25.1
2.000,1.976,1.370,0.70,25.2
3.000,2.972,1.393,1.68,25.3
4.000,3.973,1.415,2.65,25.3
5.000,4.980,1.435,3.62,25.3
6.000,5.983,1.453,4.60,25.4
7.000,6.981,1.471,5.52,25.4
8.000,7.973,1.487,6.44,25.4
9.000,8.973,1.502,7.34,25.4
10.000,9.968,1.516,8.26,25.4
11.000,10.961,1.529,9.13,25.5
12.000,11.976,1.542,9.96,25.5
13.000,12.968,1.554,10.73,25.5
