*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.152,-0.01,25.0
1.000,0.973,1.337,0.00,25.0
2.000,1.977,1.371,0.65,25.0
3.000,2.973,1.394,1.56,25.0
4.000,3.973,1.416,2.49,25.0
5.000,4.981,1.435,3.43,25.0
6.000,5.984,1.454,4.33,25.0
7.000,6.982,1.471,5.22,25.0
8.000,7.975,1.487,6.08,25.0
9.000,8.974,1.502,6.91,25.0
10.000,9.969,1.516,7.72,25.0
11.000,10.962,1.529,8.52,25.0
12.000,11.978,1.541,9.26,25.0
13.000,12.970,1.553,9.95,25.0
14.000,13.961,1.564,10.62,25.0
