*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.151,-0.02,25.0
1.000,0.973,1.336,-0.01,25.0
2.000,1.977,1.368,0.74,25.0
3.000,2.973,1.391,1.72,25.0
4.000,3.973,1.412,2.71,25.0
5.000,4.981,1.432,3.68,25.0
6.000,5.984,1.450,4.67,25.0
7.000,6.982,1.466,5.63,25.0
8.000,7.975,1.483,6.54,25.0
9.000,8.974,1.498,7.42,25.0
10.000,9.970,1.512,8.31,25.0
11.000,10.963,1.525,9.19,25.0
12.000,11.978,1.538,10.01,25.0
13.000,12.969,1.550,10.78,25.0
