*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.153,-0.01,24.9
1.000,0.973,1.337,0.00,25.1
2.000,1.977,1.370,0.73,25.2
3.000,2.972,1.393,1.68,25.3
4.000,3.972,1.415,2.63,25.3
5.000,4.980,1.435,3.61,25.3
6.000,5.984,1.453,4.57,25.3
7.000,6.981,1.470,5.49,25.4
8.000,7.974,1.486,6.42,25.4
9.000,8.973,1.500,7.32,25.4
10.000,9.968,1.514,8.18,25.4
11.000,10.961,1.527,9.00,25.5
12.000,11.977,1.540,9.80,25.5
13.000,12.967,1.552,10.51,25.5
