*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.152,-0.01,25.0
1.000,0.973,1.336,0.00,25.0
2.000,1.977,1.368,0.72,25.0
3.000,2.972,1.390,1.65,25.0
4.000,3.973,1.411,2.60,25.0
5.000,4.981,1.430,3.59,25.0
6.000,5.984,1.447,4.51,25.0
7.000,6.981,1.463,5.44,25.0
8.000,7.975,1.478,6.30,25.0
9.000,8.974,1.492,7.16,25.0
10.000,9.969,1.505,7.98,25.0
11.000,10.962,1.518,8.68,25.0
12.000,11.978,1.529,9.37,25.0
13.000,12.969,1.540,10.00,25.0
14.000,13.961,1.549,10.54,25.0
15.000,14.963,1.558,10.91,25.0
