*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.152,-0.02,25.0
1.000,0.973,1.337,-0.01,25.0
2.000,1.977,1.369,0.71,25.0
3.000,2.973,1.392,1.70,25.0
4.000,3.973,1.413,2.68,25.0
5.000,4.981,1.433,3.68,25.0
6.000,5.984,1.451,4.65,25.0
7.000,6.982,1.468,5.59,25.0
8.000,7.975,1.484,6.51,25.0
9.000,8.974,1.499,7.39,25.0
10.000,9.969,1.513,8.26,25.0
11.000,10.962,1.527,9.11,25.0
12.000,11.978,1.540,9.97,25.0
13.000,12.969,1.552,10.72,25.0
