*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.152,-0.02,25.0
1.000,0.972,1.336,-0.02,25.0
2.000,1.977,1.368,0.74,24.9
3.000,2.972,1.391,1.71,25.0
4.000,3.972,1.412,2.70,25.0
5.000,4.980,1.432,3.68,25.0
6.000,5.984,1.450,4.66,25.0
7.000,6.981,1.467,5.60,25.0
8.000,7.974,1.483,6.48,25.0
9.000,8.974,1.498,7.37,25.0
10.000,9.969,1.512,8.25,25.0
11.000,10.961,1.525,9.07,25.0
12.000,11.978,1.538,9.91,25.0
13.000,12.968,1.549,10.70,25.0
