*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.152,0.00,25.0
1.000,0.974,1.336,-0.01,25.1
2.000,1.977,1.368,0.70,25.2
3.000,2.972,1.391,1.67,25.3
4.000,3.972,1.413,2.65,25.3
5.000,4.980,1.433,3.63,25.3
6.000,5.983,1.451,4.60,25.4
7.000,6.981,1.468,5.55,25.4
8.000,7.974,1.484,6.46,25.4
9.000,8.973,1.499,7.39,25.4
10.000,9.968,1.513,8.26,25.4
11.000,10.961,1.527,9.14,25.5
12.000,11.977,1.540,9.96,25.5
13.000,12.968,1.552,10.78,25.5
