*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.152,-0.02,25.0
1.000,0.973,1.337,0.00,25.0
2.000,1.977,1.370,0.74,25.0
3.000,2.972,1.393,1.70,25.0
4.000,3.973,1.415,2.69,25.0
5.000,4.981,1.435,3.66,25.0
6.000,5.984,1.453,4.66,25.0
7.000,6.982,1.471,5.61,25.0
8.000,7.975,1.487,6.53,25.0
9.000,8.974,1.502,7.46,25.0
10.000,9.969,1.516,8.34,25.0
11.000,10.962,1.530,9.20,25.0
12.000,11.978,1.542,10.08,25.0
13.000,12.969,1.554,10.83,25.0
