*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.153,-0.01,25.0
1.000,0.973,1.338,0.00,25.1
2.000,1.977,1.371,0.73,25.2
3.000,2.972,1.394,1.70,25.3
4.000,3.972,1.416,2.69,25.3
5.000,4.981,1.437,3.68,25.3
6.000,5.984,1.455,4.66,25.4
7.000,6.981,1.473,5.60,25.4
8.000,7.974,1.489,6.53,25.4
9.000,8.973,1.504,7.44,25.4
10.000,9.968,1.519,8.30,25.5
11.000,10.961,1.533,9.14,25.5
12.000,11.977,1.546,10.00,25.5
13.000,12.968,1.558,10.79,25.6
