*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.153,-0.01,25.0
1.000,0.973,1.337,0.01,25.1
2.000,1.976,1.370,0.70,25.2
3.000,2.972,1.393,1.64,25.3
4.000,3.972,1.414,2.64,25.3
5.000,4.980,1.434,3.58,25.3
6.000,5.983,1.452,4.58,25.4
7.000,6.981,1.469,5.50,25.4
8.000,7.973,1.484,6.44,25.4
9.000,8.973,1.499,7.31,25.5
10.000,9.968,1.513,8.18,25.5
11.000,10.961,1.526,9.04,25.5
12.000,11.976,1.539,9.84,25.5
13.000,12.968,1.551,10.61,25.5
