*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.153,-0.01,25.0
1.000,0.973,1.326,0.15,25.1
2.000,1.977,1.353,0.83,25.2
3.000,2.972,1.375,1.56,25.3
4.000,3.972,1.396,2.32,25.3
5.000,4.980,1.415,3.07,25.4
6.000,5.983,1.432,3.82,25.4
7.000,6.981,1.449,4.54,25.4
8.000,7.974,1.464,5.23,25.5
9.000,8.973,1.478,5.85,25.5
10.000,9.968,1.491,6.46,25.5
11.000,10.961,1.504,7.16,25.5
12.000,11.977,1.542,1.06,26.1
13.000,12.968,1.551,0.52,26.4
14.000,13.959,1.556,0.30,26.4
15.000,14.962,1.562,0.22,26.3
16.000,15.960,1.565,0.14,26.2
